STATEFP,CD,CD_ID,year,State,Region,Division,gisjn_st,st_abbr,CD_ID1,CDIDYR,asnnh_pct,badeg_pct,blknh_pct,hisp_pct,medhhinc,nonwht_pct,pov100_pct,whtnh_pct,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,dist_omit,uncontest_r,uncontest_d,missing
36,21,G3621,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-21,NY-21-1990,0.735255353,17.86506965,1.620687978,1.263911789,55248.8578,4.641505194,7.154749734,95.35849481,149319,83845,297006,50.27474192,28.23006943,0,0,0,0
36,22,G3622,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-22,NY-22-1990,0.314136126,16.14142967,0.46484602,0.857988166,53798.1378,2.118325395,8.62635557,97.88167461,86896,136909,284496,30.54383893,48.12334796,0,0,0,0
36,23,G3623,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-23,NY-23-1990,0.350128662,12.63138196,0.56684592,0.68841871,47934.5089,1.915724181,10.46567881,98.08427582,61835,139774,252880,24.4523094,55.27285669,0,0,0,0
36,24,G3624,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-24,NY-24-1990,0.31075691,12.21985513,0.441690308,0.636310381,46510.9899,1.917072765,12.20580122,98.08292724,47675,113408,231046,20.63441912,49.08459787,0,0,0,0
36,25,G3625,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-25,NY-25-1990,0.617442758,18.11432814,1.263264275,0.951890918,54802.7614,3.728909684,6.800314465,96.27109032,101422,119282,266033,38.12384178,44.83729462,0,0,0,0
36,26,G3626,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-26,NY-26-1990,1.055655053,18.29026183,2.338252848,1.671112297,48784.9935,6.560208386,11.12594974,93.43979161,112763,98389,266740,42.27449951,36.88573142,0,0,0,0
36,27,G3627,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-27,NY-27-1990,0.444913521,17.09031567,0.947642589,0.73844155,59049.7442,2.686110853,5.87970913,97.31388915,89906,126997,277339,32.41736647,45.79125186,0,0,0,0
36,28,G3628,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-28,NY-28-1990,1.048173462,17.46840147,6.926932528,2.13994417,54482.6963,11.91342987,10.85910636,88.08657013,140908,93806,275326,51.17860282,34.07088324,0,0,0,0
36,29,G3629,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-29,NY-29-1990,0.395256917,13.75053214,2.616116396,1.220752798,48169.3442,5.933682374,10.37402964,94.06631763,120758,85294,264526,45.65071108,32.24408943,0,0,0,0
36,30,G3630,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-30,NY-30-1990,0.230083405,10.33447684,0.418105799,0.828892836,44636.841,2.721789025,9.952065738,97.27821098,102519,114921,265097,38.67225959,43.35054716,0,0,0,0
36,31,G3631,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-31,NY-31-1990,0.306971593,12.97731021,0.553187474,0.599221526,44875.3031,2.13772136,12.89289084,97.86227864,52010,133758,247194,21.0401547,54.11053666,0,0,0,0
37,1,G3701,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-01,NC-01-1990,0.154374891,8.667679028,37.97362241,0.665514326,38041.5052,39.19503998,19.31686987,60.80496002,116078,54457,173262,66.99564821,31.43043483,0,0,0,0
37,2,G3702,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-02,NC-02-1990,0.296334918,13.6724211,19.43210272,1.004123106,48417.78,21.55939666,11.41280912,78.44060334,113693,93893,211569,53.738024,44.37937505,0,0,0,0
37,3,G3703,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-03,NC-03-1990,0.653232865,13.711503,17.83720731,1.078581408,44462.7546,24.86112889,12.68155161,75.13887111,101739,80759,187050,54.39133921,43.17508688,0,0,0,0
37,4,G3704,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-04,NC-04-1990,1.226514005,34.95236715,15.3203396,1.22196991,57574.5433,18.09045141,8.086123712,81.90954859,171299,89345,265060,64.62649966,33.70746246,0,0,0,0
37,5,G3705,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-05,NC-05-1990,0.188349253,10.13292656,7.100108814,0.608282643,45548.9812,8.133387556,11.07907743,91.86661244,117835,102086,223683,52.67946156,45.63869404,0,0,0,0
37,6,G3706,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-06,NC-06-1990,0.428514617,12.96855636,7.878308797,0.617287658,51912.2018,10.66287687,7.646647437,89.33712313,67200,162822,230022,29.21459686,70.78540314,0,0,0,0
37,7,G3707,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-07,NC-07-1990,0.296150049,12.08955224,19.92802519,0.779896014,42816.1874,31.49028078,16.49912587,68.50971922,92414,66536,163101,56.66059681,40.79435442,0,0,0,0
37,8,G3708,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-08,NC-08-1990,0.263603265,9.677860676,16.02566793,0.526036767,47384.142,19.40508817,10.27031472,80.59491183,113162,71842,195451,57.89788745,36.75703885,0,0,0,0
37,9,G3709,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-09,NC-09-1990,0.671675526,14.91309604,10.84955538,0.73742251,55463.7457,14.04214626,7.913276689,85.95785374,74583,153650,228245,32.67672895,67.31801354,0,0,0,0
37,10,G3710,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-10,NC-10-1990,0.27405289,9.11259733,3.513238181,0.585316321,47443.0775,4.806863615,9.426792767,95.19313638,79206,149033,235127,33.68647582,63.38404352,0,0,0,0
37,11,G3711,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-11,NC-11-1990,0.178980751,11.01769497,1.008713799,0.539220064,40111.5013,2.873413728,14.00636914,97.12658627,108003,130158,238161,45.34873468,54.65126532,0,0,0,0
37,12,G3712,1990,North Carolina,South Region,South Atlantic Division,G37,NC,NC-12,NC-12-1990,0.219659528,8.873505349,94.06094527,0.499219969,31520.5188,95.06572295,25.67010309,4.934277048,127262,49402,180824,70.378932,27.32048843,0,0,0,0
38,0,G3800,1990,North Dakota,Midwest Region,West North Central Division,G38,ND,ND-00,ND-00-1990,0.158857137,12.69647878,0.063857377,0.330065359,38534.75,1.631189948,13.75413059,98.36881005,169273,117442,297898,56.82246944,39.42356108,1,0,0,0
39,1,G3901,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-01,OH-01-1990,0.555555556,15.81920904,13.89465966,0.5,47427.6636,17.92268645,10.86007702,82.07731355,120190,0,234433,51.26837945,0,0,1,0,0
39,2,G3902,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-02,OH-02-1990,0.385837494,16.92693809,0.705513457,0.44305447,63554.2298,2.021174206,5.175408128,97.97882579,75924,177720,253651,29.93246626,70.06477404,0,0,0,0
39,3,G3903,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-03,OH-03-1990,0.633051274,15.20492282,1.911195475,0.660346995,55138.2404,4.600874528,6.668647521,95.39912547,146072,98733,244811,59.66725351,40.33029562,0,0,0,0
39,4,G3904,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-04,OH-04-1990,0.218459858,8.78086027,0.675675676,0.627982919,50396.1994,2.367306255,9.479512735,97.63269375,92608,147346,240440,38.5160539,61.28181667,0,0,0,0
39,5,G3905,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-05,OH-05-1990,0.235200628,10.29754546,0.41572592,1.81393926,56252.5747,3.630325908,7.639269752,96.36967409,0,187860,187860,0,100,0,0,1,0
39,6,G3906,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-06,OH-06-1990,0.152811736,8.613617719,0.756793946,0.327242978,38578.2716,1.664626683,18.80276286,98.33537332,122720,119252,241972,50.71661184,49.28338816,0,0,0,0
39,7,G3907,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-07,OH-07-1990,0.305519258,11.40805245,1.1960778,0.510004409,52176.0515,2.711497508,9.152766777,97.28850249,66237,164195,230432,28.7447056,71.2552944,0,0,0,0
39,8,G3908,1990,Ohio,Midwest Region,East North Central Division,G39,OH,OH-08,OH-08-1990,0.262244258,9.810184736,1.128301504,0.422233647,54232.4471,2.258308268,7.747508007,97.74169173,62033,176362,238395,26.02109944,73.97890056,0,0,0,0
