cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop
G4812,1990,125492,74432,199924,62.76985254,37.23014746
G4813,1990,117892,77514,195406,60.33182195,39.66817805
G4814,1990,135930,54412,199671,68.07698664,27.25082761
G4815,1990,86351,56549,142900,60.42757173,39.57242827
G4816,1990,66731,61870,128601,51.8899542,48.1100458
G4817,1990,136213,69958,206171,66.0679727,33.9320273
G4818,1990,111422,56080,172208,64.70198829,32.56526991
G4819,1990,47325,162057,209382,22.60222942,77.39777058
G4820,1990,103755,0,103755,100,0
G4821,1990,62827,190979,264653,23.73938705,72.16203859
G4822,1990,67812,150221,218033,31.10171396,68.89828604
G4823,1990,63797,98259,166347,38.35175867,59.06869375
G4824,1990,104174,70042,174216,59.79588557,40.20411443
G4825,1990,98975,73192,176877,55.95696444,41.38016814
G4826,1990,55237,150209,205531,26.87526456,73.08337915
G4827,1990,87022,66853,156844,55.48315524,42.62388105
G4828,1990,122457,0,140585,87.10530995,0
G4829,1990,64064,34609,98673,64.92556221,35.07443779
G4830,1990,107831,37853,150747,71.53110841,25.11028412
G4901,1990,68712,160037,245254,28.01666843,65.25357385
G4902,1990,127738,118307,252969,50.49551526,46.76739047
G4903,1990,135029,84019,229061,58.94892627,36.67974906
G5000,1990,22279,86901,281626,7.9108463,30.85688111
G5101,1990,89814,133537,232051,38.70442273,57.54640144
G5102,1990,99253,77797,177133,56.03303732,43.92010523
G5103,1990,132432,35780,168473,78.60725457,21.23782446
G5104,1990,147649,68286,215960,68.36867939,31.6197444
G5105,1990,133031,60030,193084,68.89799258,31.0900955
G5106,1990,84618,127309,212087,39.8977778,60.02678146
G5107,1990,0,211618,255375,0,82.86558982
G5108,1990,138542,102717,247126,56.06128048,41.56462695
G5109,1990,133284,77985,211295,63.07958068,36.90811425
G5110,1990,75775,144471,227191,33.35299374,63.590107
G5111,1990,114172,103119,228272,50.01577066,45.1737401
G5301,1990,148844,113897,271274,54.86850933,41.98596253
G5302,1990,133207,107365,255920,52.05025008,41.9525633
