state_name,st_fips,cd_fips,cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,uncontest,missing
Massachusetts,25,7,G2507,1990,174837,78262,281558,62.09626436,27.79604913,0,0
Massachusetts,25,8,G2508,1990,149903,0,180484,83.05611578,0,1,0
Massachusetts,25,9,G2509,1990,175550,54291,253634,69.21390665,21.40525324,0,0
Massachusetts,25,10,G2510,1990,189342,75887,311650,60.75469276,24.3500722,0,0
Michigan,26,1,G2601,1990,144857,117056,268619,53.92656514,43.57696217,0,0
Michigan,26,2,G2602,1990,86265,155577,246761,34.95892787,63.04764529,0,0
Michigan,26,3,G2603,1990,95927,162451,264948,36.20597249,61.31429564,0,0
Michigan,26,4,G2604,1990,87573,157337,251539,34.8148796,62.54974378,0,0
Michigan,26,5,G2605,1990,147618,93098,244992,60.25421238,38.0004245,0,0
Michigan,26,6,G2606,1990,89020,144083,233112,38.18765229,61.80848691,0,0
Michigan,26,7,G2607,1990,0,133972,152868,0,87.63900882,1,0
Michigan,26,8,G2608,1990,135517,131906,284707,47.59875943,46.33043796,0,0
Michigan,26,9,G2609,1990,133956,111798,249530,53.68332465,44.80343045,0,0
Michigan,26,10,G2610,1990,138193,114918,260213,53.10764643,44.16305104,0,0
Michigan,26,11,G2611,1990,117725,168940,293098,40.16574661,57.63942436,0,0
Michigan,26,12,G2612,1990,137514,119357,261349,52.61699873,45.66958358,0,0
Michigan,26,13,G2613,1990,127642,105169,245888,51.91062598,42.77109904,0,0
Michigan,26,14,G2614,1990,165496,32036,200879,82.38591391,15.94790894,0,0
Michigan,26,15,G2615,1990,148908,31849,184694,80.62416754,17.24419851,0,0
Michigan,26,16,G2616,1990,156964,75694,240936,65.14759106,31.41664176,0,0
Minnesota,27,1,G2701,1990,206369,72367,279430,73.85355903,25.89807823,0,0
Minnesota,27,2,G2702,1990,132156,131587,276403,47.81279509,47.60693625,0,0
Minnesota,27,3,G2703,1990,104606,200240,314731,33.236637,63.62258564,0,0
Minnesota,27,4,G2704,1990,159796,101744,277956,57.48967462,36.60435465,0,0
Minnesota,27,5,G2705,1990,174139,77093,277094,62.84473861,27.82196655,0,0
Minnesota,27,6,G2706,1990,100016,133564,301023,33.22536816,44.37003153,0,0
Minnesota,27,7,G2707,1990,133886,130396,265524,50.4233139,49.10893177,0,0
Minnesota,27,8,G2708,1990,167104,83823,283031,59.04088245,29.61619045,0,0
Mississippi,28,1,G2801,1990,121664,82952,204616,59.4596708,40.5403292,0,0
Mississippi,28,2,G2802,1990,133361,41248,174609,76.37693361,23.62306639,0,0
Mississippi,28,3,G2803,1990,162864,37710,200574,81.19895899,18.80104101,0,0
Mississippi,28,4,G2804,1990,130927,43705,194544,67.29942841,22.46535488,0,0
Mississippi,28,5,G2805,1990,120766,67619,191058,63.20907787,35.39187053,0,0
Missouri,29,1,G2901,1990,158693,74482,233175,68.05746757,31.94253243,0,0
Missouri,29,2,G2902,1990,148729,157594,312442,47.60211495,50.43944156,0,0
Missouri,29,3,G2903,1990,174000,90006,271834,64.00965295,33.11064841,0,0
Missouri,29,4,G2904,1990,176977,74475,251452,70.38202122,29.61797878,0,0
Missouri,29,5,G2905,1990,151014,93562,255312,59.14880617,36.64614276,0,0
Missouri,29,6,G2906,1990,148887,119637,268524,55.44644054,44.55355946,0,0
Missouri,29,7,G2907,1990,99762,160303,260065,38.3604099,61.6395901,0,0
Missouri,29,8,G2908,1990,86730,147398,234418,36.9980121,62.87827727,0,0
Missouri,29,9,G2909,1990,124694,118811,261335,47.71423652,45.46310291,0,0
Montana,30,0,G3000,1990,203711,189570,403735,50.45661139,46.9540664,0,0
Nebraska,31,1,G3101,1990,96309,142713,239108,40.27845158,59.68558141,0,0
Nebraska,31,2,G3102,1990,119512,113828,233372,51.21094219,48.7753458,0,0
Nebraska,31,3,G3103,1990,67457,170857,238355,28.30106354,71.68173523,0,0
Nevada,32,1,G3201,1990,128278,84217,221488,57.91645597,38.02327891,0,0
Nevada,32,2,G3202,1990,117199,129575,270461,43.33304987,47.90894066,0,0
New Hampshire,33,1,G3301,1990,108578,135936,255681,42.46619811,53.16625013,0,0
New Hampshire,33,2,G3302,1990,157328,91126,255088,61.67597065,35.72335821,0,0
New Jersey,34,1,G3401,1990,153525,65123,228072,67.31426918,28.55370234,0,0
New Jersey,34,2,G3402,1990,132465,98315,237027,55.8860383,41.47839698,0,0
New Jersey,34,3,G3403,1990,94012,151368,255798,36.75243747,59.17481763,0,0
New Jersey,34,4,G3404,1990,84514,149095,241225,35.03534045,61.80744119,0,0
New Jersey,34,5,G3405,1990,67579,196198,274371,24.63051853,71.50828623,0,0
New Jersey,34,6,G3406,1990,118266,100949,226093,52.30856329,44.64932572,0,0
New Jersey,34,7,G3407,1990,105761,132174,248082,42.63146863,53.27835151,0,0
New Jersey,34,8,G3408,1990,96742,84674,205828,47.00137979,41.13823192,0,0
New Jersey,34,9,G3409,1990,139188,88179,238704,58.30987332,36.94072994,0,0
New Jersey,34,10,G3410,1990,117287,30160,149632,78.38363452,20.15611634,0,0
New Jersey,34,11,G3411,1990,68871,188165,268436,25.65639482,70.09678285,0,0
New Jersey,34,12,G3412,1990,83035,174216,272757,30.4428484,63.87223793,0,0
New Jersey,34,13,G3413,1990,93670,44529,145714,64.28345938,30.55917757,0,0
New Mexico,35,1,G3501,1990,76600,128426,205214,37.32688803,62.58150029,0,0
New Mexico,35,2,G3502,1990,73157,94838,168170,43.50181364,56.39412499,0,0
New Mexico,35,3,G3503,1990,122850,54569,182217,67.41961507,29.94726068,0,0
New York,36,1,G3601,1990,111908,87248,257043,43.53668452,33.94295896,0,0
New York,36,2,G3602,1990,91320,94208,232997,39.19363769,40.43313862,0,0
New York,36,3,G3603,1990,116915,108574,293639,39.81589639,36.97533366,0,0
New York,36,4,G3604,1990,97007,98723,261812,37.05215956,37.70759171,0,0
New York,36,5,G3605,1990,105953,82883,256555,41.29835708,32.30613319,0,0
New York,36,6,G3606,1990,96972,18725,160228,60.52125721,11.68647178,0,0
New York,36,7,G3607,1990,72280,46218,171124,42.23837685,27.00848508,0,0
New York,36,8,G3608,1990,132172,25548,227585,58.07588374,11.22569589,0,0
New York,36,9,G3609,1990,111424,0,213204,52.26168365,0,1,0
New York,36,10,G3610,1990,93801,0,160115,58.5835181,0,1,0
New York,36,11,G3611,1990,76724,0,128115,59.88682043,0,1,0
New York,36,12,G3612,1990,55926,12288,104485,53.52538642,11.76053979,0,0
New York,36,13,G3613,1990,68738,92144,217142,31.65578285,42.43490435,0,0
New York,36,14,G3614,1990,97059,92034,238720,40.65809316,38.55311662,0,0
New York,36,15,G3615,1990,101229,0,154358,65.58066313,0,1,0
New York,36,16,G3616,1990,80927,6741,132082,61.2702715,5.103647734,0,0
New York,36,17,G3617,1990,94758,16511,166357,56.96063286,9.925040726,0,0
New York,36,18,G3618,1990,115841,74076,243057,47.66001391,30.47680174,0,0
New York,36,19,G3619,1990,92854,119047,267291,34.73891751,44.53834959,0,0
New York,36,20,G3620,1990,66826,150301,265011,25.21631178,56.71500428,0,0
New York,36,21,G3621,1990,149319,83845,297006,50.27474192,28.23006943,0,0
New York,36,22,G3622,1990,86896,136909,284496,30.54383893,48.12334796,0,0
New York,36,23,G3623,1990,61835,139774,252880,24.4523094,55.27285669,0,0
New York,36,24,G3624,1990,47675,113408,231046,20.63441912,49.08459787,0,0
New York,36,25,G3625,1990,101422,119282,266033,38.12384178,44.83729462,0,0
New York,36,26,G3626,1990,112763,98389,266740,42.27449951,36.88573142,0,0
New York,36,27,G3627,1990,89906,126997,277339,32.41736647,45.79125186,0,0
New York,36,28,G3628,1990,140908,93806,275326,51.17860282,34.07088324,0,0
New York,36,29,G3629,1990,120758,85294,264526,45.65071108,32.24408943,0,0
New York,36,30,G3630,1990,102519,114921,265097,38.67225959,43.35054716,0,0
New York,36,31,G3631,1990,52010,133758,247194,21.0401547,54.11053666,0,0
North Carolina,37,1,G3701,1990,116078,54457,173262,66.99564821,31.43043483,0,0
North Carolina,37,2,G3702,1990,113693,93893,211569,53.738024,44.37937505,0,0
North Carolina,37,3,G3703,1990,101739,80759,187050,54.39133921,43.17508688,0,0
North Carolina,37,4,G3704,1990,171299,89345,265060,64.62649966,33.70746246,0,0
North Carolina,37,5,G3705,1990,117835,102086,223683,52.67946156,45.63869404,0,0
North Carolina,37,6,G3706,1990,67200,162822,230022,29.21459686,70.78540314,0,0
North Carolina,37,7,G3707,1990,92414,66536,163101,56.66059681,40.79435442,0,0
North Carolina,37,8,G3708,1990,113162,71842,195451,57.89788745,36.75703885,0,0
North Carolina,37,9,G3709,1990,74583,153650,228245,32.67672895,67.31801354,0,0
North Carolina,37,10,G3710,1990,79206,149033,235127,33.68647582,63.38404352,0,0
North Carolina,37,11,G3711,1990,108003,130158,238161,45.34873468,54.65126532,0,0
North Carolina,37,12,G3712,1990,127262,49402,180824,70.378932,27.32048843,0,0
North Dakota,38,0,G3800,1990,169273,117442,297898,56.82246944,39.42356108,0,0
Ohio,39,1,G3901,1990,120190,0,234433,51.26837945,0,1,0
Ohio,39,2,G3902,1990,75924,177720,253651,29.93246626,70.06477404,0,0
Ohio,39,3,G3903,1990,146072,98733,244811,59.66725351,40.33029562,0,0
Ohio,39,4,G3904,1990,92608,147346,240440,38.5160539,61.28181667,0,0
Ohio,39,5,G3905,1990,0,187860,187860,0,100,1,0
Ohio,39,6,G3906,1990,122720,119252,241972,50.71661184,49.28338816,0,0
Ohio,39,7,G3907,1990,66237,164195,230432,28.7447056,71.2552944,0,0
Ohio,39,8,G3908,1990,62033,176362,238395,26.02109944,73.97890056,0,0
Ohio,39,9,G3909,1990,178879,53011,243102,73.58187098,21.80607317,0,0
Ohio,39,10,G3910,1990,103788,136433,240239,43.20197803,56.79052943,0,0
Ohio,39,11,G3911,1990,154718,43866,223624,69.18667048,19.61596251,0,0
Ohio,39,12,G3912,1990,68761,170297,239058,28.76331267,71.23668733,0,0
Ohio,39,13,G3913,1990,134486,88889,252258,53.31287809,35.23733638,0,0
Ohio,39,14,G3914,1990,165335,78659,243994,67.76191218,32.23808782,0,0
Ohio,39,15,G3915,1990,94907,110390,250205,37.93169601,44.11982175,0,0
Ohio,39,16,G3916,1990,90224,158489,248713,36.27635065,63.72364935,0,0
Ohio,39,17,G3917,1990,216503,40743,257246,84.16185286,15.83814714,0,0
Ohio,39,18,G3918,1990,166189,77229,243418,68.27309402,31.72690598,0,0
Ohio,39,19,G3919,1990,138465,124606,263083,52.63167898,47.36375973,0,0
Oklahoma,40,1,G4001,1990,106619,119211,225830,47.21206217,52.78793783,0,0
Oklahoma,40,2,G4002,1990,118542,87657,213513,55.51980441,41.05464304,0,0
Oklahoma,40,3,G4003,1990,155934,51725,207659,75.09137577,24.90862423,0,0
Oklahoma,40,4,G4004,1990,140841,58235,199076,70.74735277,29.25264723,0,0
Oklahoma,40,5,G4005,1990,107579,123237,230816,46.60812075,53.39187925,0,0
Oklahoma,40,6,G4006,1990,134734,64068,198802,67.77296003,32.22703997,0,0
Oregon,41,1,G4101,1990,152917,140986,294154,51.98535461,47.92931594,0,0
Oregon,41,2,G4102,1990,90036,184163,274478,32.80262899,67.09572352,0,0
Oregon,41,3,G4103,1990,208028,50235,269879,77.08195154,18.61389734,0,0
Oregon,41,4,G4104,1990,199372,79733,279299,71.38299815,28.54754224,0,0
Oregon,41,5,G4105,1990,174443,97984,272944,63.91164488,35.89893898,0,0
Pennsylvania,42,1,G4201,1990,150172,35419,185591,80.91556164,19.08443836,0,0
Pennsylvania,42,2,G4202,1990,164355,47906,213927,76.82760942,22.39362025,0,0
Pennsylvania,42,3,G4203,1990,130828,86787,221971,58.9392308,39.09835069,0,0
Pennsylvania,42,4,G4204,1990,186684,48484,237922,78.46437068,20.37810711,0,0
Pennsylvania,42,5,G4205,1990,0,188911,188911,0,100,1,0
Pennsylvania,42,6,G4206,1990,108312,99694,208006,52.07157486,47.92842514,0,0
Pennsylvania,42,7,G4207,1990,91623,180648,273898,33.45150384,65.9544794,0,0
Pennsylvania,42,8,G4208,1990,114095,129593,249538,45.72249517,51.9331725,0,0
Pennsylvania,42,9,G4209,1990,0,182406,182406,0,100,1,0
Pennsylvania,42,10,G4210,1990,0,189414,209548,0,90.39170023,1,0
